# Generated on Tue Feb 14 01:01:23 2017 by soham.
# This file was created by PDFgui.
#S 1
#L r  Gtrunc  Gdiff  Gcalc
2.76 -1.28337 -0.0250744 -1.2583
2.77 -1.28956 -0.0321899 -1.25737
2.78 -1.28678 -0.0343317 -1.25245
2.79 -1.27938 -0.0318939 -1.24749
2.8 -1.27105 -0.0255336 -1.24552
2.81 -1.26477 -0.0161513 -1.24862
2.82 -1.26273 -0.00478756 -1.25794
2.83 -1.2665 0.00727729 -1.27378
2.84 -1.27713 0.0185346 -1.29566
2.85 -1.29407 0.0284694 -1.32254
2.86 -1.31665 0.0362431 -1.35289
2.87 -1.34377 0.0411758 -1.38495
2.88 -1.37402 0.0427982 -1.41682
2.89 -1.40579 0.0409012 -1.44669
2.9 -1.43741 0.0355372 -1.47295
2.91 -1.4673 0.0269837 -1.49428
2.92 -1.49386 0.0159352 -1.5098
2.93 -1.51568 0.00334125 -1.51902
2.94 -1.53218 -0.0102213 -1.52196
2.95 -1.54291 -0.0238694 -1.51904
2.96 -1.54778 -0.036694 -1.51109
2.97 -1.54706 -0.0478353 -1.49922
2.98 -1.54135 -0.0565459 -1.4848
2.99 -1.53149 -0.0622042 -1.46929
3 -1.51854 -0.0644006 -1.45414
3.01 -1.50365 -0.0629105 -1.44074
3.02 -1.48822 -0.0579439 -1.43028
3.03 -1.47351 -0.0498305 -1.42368
3.04 -1.46062 -0.0390519 -1.42157
3.05 -1.45047 -0.0262512 -1.42422
3.06 -1.44378 -0.0122167 -1.43156
3.07 -1.44102 0.00218674 -1.44321
3.08 -1.44241 0.0160594 -1.45847
3.09 -1.44791 0.0285348 -1.47644
3.1 -1.45746 0.0386108 -1.49607
3.11 -1.47035 0.0458582 -1.51621
3.12 -1.48578 0.0499395 -1.53572
3.13 -1.5029 0.0506433 -1.55354
3.14 -1.52083 0.0479279 -1.56876
3.15 -1.53862 0.0420105 -1.58063
3.16 -1.55536 0.0332879 -1.58865
3.17 -1.57017 0.0223565 -1.59253
3.18 -1.58226 0.00994269 -1.5922
3.19 -1.5906 -0.00279755 -1.5878
3.2 -1.59478 -0.0151853 -1.57959
3.21 -1.59439 -0.0264588 -1.56793
3.22 -1.58902 -0.0358423 -1.55318
3.23 -1.57837 -0.0427267 -1.53564
3.24 -1.56216 -0.0466483 -1.51551
3.25 -1.54013 -0.047348 -1.49278
3.26 -1.51203 -0.0448067 -1.46722
3.27 -1.47754 -0.0391921 -1.43835
3.28 -1.43573 -0.030324 -1.40541
3.29 -1.38677 -0.019366 -1.3674
3.3 -1.33024 -0.00709359 -1.32315
3.31 -1.26569 0.00560984 -1.2713
3.32 -1.19266 0.0178165 -1.21048
3.33 -1.11075 0.028582 -1.13933
3.34 -1.01964 0.0370331 -1.05667
3.35 -0.919129 0.042438 -0.961567
3.36 -0.809059 0.0443884 -0.853447
3.37 -0.689173 0.0430359 -0.732209
3.38 -0.560764 0.0375196 -0.598284
3.39 -0.424744 0.0279501 -0.452694
3.4 -0.282372 0.0147068 -0.297079
3.41 -0.135268 -0.00158287 -0.133685
3.42 0.0146022 -0.020067 0.0346692
3.43 0.164947 -0.0397201 0.204667
3.44 0.3132 -0.0593935 0.372593
3.45 0.45632 -0.0781414 0.534461
3.46 0.59081 -0.0953493 0.686159
3.47 0.714012 -0.109599 0.823611
3.48 0.823019 -0.11992 0.942939
3.49 0.915101 -0.12553 1.04063
3.5 0.987798 -0.125889 1.11369
3.51 1.03902 -0.120731 1.15975
3.52 1.06714 -0.110081 1.17722
3.53 1.07103 -0.0942892 1.16532
3.54 1.04901 -0.0751205 1.12413
3.55 1.00127 -0.0533353 1.05461
3.56 0.929767 -0.0287533 0.95852
3.57 0.835911 -0.00249406 0.838405
3.58 0.721667 0.0242312 0.697436
3.59 0.589475 0.0501729 0.539302
3.6 0.442173 0.0741199 0.368053
3.61 0.282895 0.0949631 0.187932
